 N  r  e     frac  success    ci_lo    ci_hi  median_sigma    p05_sigma
64  0  6 0.046875   1.0000 0.998083 1.000000  6.002048e-01 5.685273e-01
64  0 13 0.101562   1.0000 0.998083 1.000000  5.035177e-01 4.690361e-01
64  0 26 0.203125   1.0000 0.998083 1.000000  3.621302e-01 3.252033e-01
64  0 38 0.296875   1.0000 0.998083 1.000000  2.490487e-01 2.083830e-01
64  0 51 0.398438   0.9935 0.988910 0.996197  1.331136e-01 9.650866e-02
64  1  6 0.046875   1.0000 0.998083 1.000000  5.889880e-01 5.685273e-01
64  1 13 0.101562   1.0000 0.998083 1.000000  5.000000e-01 4.402429e-01
64  1 26 0.203125   1.0000 0.998083 1.000000  3.573087e-01 2.851416e-01
64  1 38 0.296875   0.9990 0.996361 0.999726  2.380261e-01 1.524085e-01
64  1 51 0.398438   0.8660 0.850366 0.880230  1.121189e-01 1.748326e-16
64  2  6 0.046875   1.0000 0.998083 1.000000  5.685273e-01 5.324412e-01
64  2 13 0.101562   1.0000 0.998083 1.000000  5.000000e-01 4.163643e-01
64  2 26 0.203125   0.9955 0.991469 0.997631  3.397834e-01 2.318532e-01
64  2 38 0.296875   0.9315 0.919582 0.941764  2.172030e-01 2.073779e-16
64  2 51 0.398438   0.3925 0.371325 0.414088  1.893627e-16 8.041051e-17
64  3  6 0.046875   1.0000 0.998083 1.000000  5.685273e-01 5.000000e-01
64  3 13 0.101562   1.0000 0.998083 1.000000  5.000000e-01 3.826834e-01
64  3 26 0.203125   0.9595 0.949943 0.967295  3.826834e-01 1.797020e-01
64  3 38 0.296875   0.6740 0.653140 0.694193  1.950903e-01 1.214110e-16
64  3 51 0.398438   0.1005 0.088079 0.114453  1.138932e-16 6.873786e-17
