 N  r  theory_e_star  failing_subsets_at_e_star  min_positive_sigma_at_e_star
 4  0              4                         12                      0.258819
 4  1              3                          8                      0.382683
 4  2              2                          4                      0.707107
 8  0              6                        112                      0.217203
 8  1              4                         24                      0.258819
 8  2              3                         16                      0.382683
 8  3              2                          8                      0.707107
16  1              6                        224                      0.217203
16  2              4                         48                      0.258819
16  3              3                         32                      0.382683
16  4              2                         16                      0.707107
