N,r,e,frac,success,ci_lo,ci_hi,median_sigma,p05_sigma
64,0,6,0.046875,1.0,0.9980828823994873,1.0000000000000002,0.6002047579003875,0.5685273121876935
64,0,13,0.1015625,1.0,0.9980828823994873,1.0000000000000002,0.5035177405547314,0.46903609438167754
64,0,26,0.203125,1.0,0.9980828823994873,1.0000000000000002,0.3621302074053976,0.32520334747773816
64,0,38,0.296875,1.0,0.9980828823994873,1.0000000000000002,0.24904874034909863,0.20838297482257953
64,0,51,0.3984375,0.9935,0.9889103647969807,0.9961974401313133,0.1331135737826094,0.09650866123136888
64,1,6,0.046875,1.0,0.9980828823994873,1.0000000000000002,0.5889880228629878,0.5685273121876933
64,1,13,0.1015625,1.0,0.9980828823994873,1.0000000000000002,0.5,0.4402428672359186
64,1,26,0.203125,1.0,0.9980828823994873,1.0000000000000002,0.35730865217433805,0.2851415900093325
64,1,38,0.296875,0.999,0.9963609898107715,0.9997257268239166,0.23802611853171085,0.15240846680609788
64,1,51,0.3984375,0.866,0.850366411818014,0.8802302580984106,0.11211892690071834,1.7483260204635984e-16
64,2,6,0.046875,1.0,0.9980828823994873,1.0000000000000002,0.5685273121876936,0.5324412165243128
64,2,13,0.1015625,1.0,0.9980828823994873,1.0000000000000002,0.49999999999999994,0.41636433418450464
64,2,26,0.203125,0.9955,0.9914693900665025,0.9976307463913893,0.33978338639460753,0.23185319943250085
64,2,38,0.296875,0.9315,0.9195817187018887,0.9417638088088687,0.21720303617548778,2.073779067025229e-16
64,2,51,0.3984375,0.3925,0.37132462192764204,0.41408755835646827,1.8936269420367612e-16,8.041050729944995e-17
64,3,6,0.046875,1.0,0.9980828823994873,1.0000000000000002,0.5685273121876935,0.49999999999999983
64,3,13,0.1015625,1.0,0.9980828823994873,1.0000000000000002,0.4999999999999999,0.3826834323650897
64,3,26,0.203125,0.9595,0.9499429837911436,0.9672951851339852,0.3826834323650896,0.1797020496634842
64,3,38,0.296875,0.674,0.6531396579775693,0.6941931850974522,0.1950903220161282,1.2141098612646177e-16
64,3,51,0.3984375,0.1005,0.08807901861123035,0.1144527583515795,1.1389318411424393e-16,6.873786209104419e-17
