N,r,m,e_star,guaranteed_erasures,guaranteed_fraction_of_2N
8,0,8,6,5,0.3125
8,1,4,4,3,0.1875
8,2,2,3,2,0.125
8,3,1,2,1,0.0625
16,0,16,8,7,0.21875
16,1,8,6,5,0.15625
16,2,4,4,3,0.09375
16,3,2,3,2,0.0625
16,4,1,2,1,0.03125
32,0,32,12,11,0.171875
32,1,16,8,7,0.109375
32,2,8,6,5,0.078125
32,3,4,4,3,0.046875
32,4,2,3,2,0.03125
32,5,1,2,1,0.015625
64,0,64,16,15,0.1171875
64,1,32,12,11,0.0859375
64,2,16,8,7,0.0546875
64,3,8,6,5,0.0390625
64,4,4,4,3,0.0234375
64,5,2,3,2,0.015625
64,6,1,2,1,0.0078125
128,0,128,24,23,0.08984375
128,1,64,16,15,0.05859375
128,2,32,12,11,0.04296875
128,3,16,8,7,0.02734375
128,4,8,6,5,0.01953125
128,5,4,4,3,0.01171875
128,6,2,3,2,0.0078125
128,7,1,2,1,0.00390625
